PASS: shape=16x16x16 tile=tm4_tn4_tk4 all 1 calls correct, guards clean
PASS: shape=64x64x64 tile=tm8_tn4_tk8 all 1000 calls correct, guards clean
PASS: shape=64x64x64 tile=tm8_tn8_tk4 all 1 calls correct, guards clean
PASS: shape=64x64x64 tile=tm8_tn8_tk4 all 1000 calls correct, guards clean
PASS: shape=64x64x64 tile=tm8_tn8_tk8 all 1 calls correct, guards clean
PASS: shape=64x64x64 tile=tm8_tn8_tk8 all 1000 calls correct, guards clean
PASS: shape=32x64x32 tile=tm4_tn4_tk4 all 1 calls correct, guards clean
PASS: shape=32x64x32 tile=tm4_tn4_tk4 all 1000 calls correct, guards clean
PASS: shape=32x64x32 tile=tm4_tn8_tk4 all 1 calls correct, guards clean
PASS: shape=32x64x32 tile=tm4_tn8_tk4 all 1000 calls correct, guards clean
PASS: shape=32x64x32 tile=tm4_tn8_tk8 all 1 calls correct, guards clean
PASS: shape=32x64x32 tile=tm4_tn8_tk8 all 1000 calls correct, guards clean
PASS: shape=32x64x32 tile=tm8_tn4_tk4 all 1 calls correct, guards clean
PASS: shape=32x64x32 tile=tm8_tn4_tk4 all 1000 calls correct, guards clean
PASS: shape=32x64x32 tile=tm8_tn4_tk8 all 1 calls correct, guards clean
PASS: shape=32x64x32 tile=tm8_tn4_tk8 all 1000 calls correct, guards clean
PASS: shape=32x64x32 tile=tm8_tn8_tk4 all 1 calls correct, guards clean
PASS: shape=32x64x32 tile=tm8_tn8_tk4 all 1000 calls correct, guards clean
PASS: shape=32x64x32 tile=tm8_tn8_tk8 all 1 calls correct, guards clean
PASS: shape=32x64x32 tile=tm8_tn8_tk8 all 1000 calls correct, guards clean
PASS: shape=64x32x64 tile=tm4_tn4_tk4 all 1 calls correct, guards clean
PASS: shape=64x32x64 tile=tm4_tn4_tk4 all 1000 calls correct, guards clean
PASS: shape=64x32x64 tile=tm4_tn8_tk4 all 1 calls correct, guards clean
PASS: shape=64x32x64 tile=tm4_tn8_tk4 all 1000 calls correct, guards clean
PASS: shape=64x32x64 tile=tm4_tn8_tk8 all 1 calls correct, guards clean
PASS: shape=64x32x64 tile=tm4_tn8_tk8 all 1000 calls correct, guards clean
PASS: shape=64x32x64 tile=tm8_tn4_tk4 all 1 calls correct, guards clean
PASS: shape=64x32x64 tile=tm8_tn4_tk4 all 1000 calls correct, guards clean
PASS: shape=64x32x64 tile=tm8_tn4_tk8 all 1 calls correct, guards clean
PASS: shape=64x32x64 tile=tm8_tn4_tk8 all 1000 calls correct, guards clean
PASS: shape=64x32x64 tile=tm8_tn8_tk4 all 1 calls correct, guards clean
PASS: shape=64x32x64 tile=tm8_tn8_tk4 all 1000 calls correct, guards clean
PASS: shape=64x32x64 tile=tm8_tn8_tk8 all 1 calls correct, guards clean
PASS: shape=64x32x64 tile=tm8_tn8_tk8 all 1000 calls correct, guards clean
PASS: shape=8x8x8 tile=tm4_tn4_tk4 all 1 calls correct, guards clean
PASS: shape=8x8x8 tile=tm4_tn4_tk4 all 1000 calls correct, guards clean
PASS: shape=8x8x8 tile=tm4_tn8_tk4 all 1 calls correct, guards clean
PASS: shape=8x8x8 tile=tm4_tn8_tk4 all 1000 calls correct, guards clean
PASS: shape=8x8x8 tile=tm4_tn8_tk8 all 1 calls correct, guards clean
PASS: shape=8x8x8 tile=tm4_tn8_tk8 all 1000 calls correct, guards clean
PASS: shape=8x8x8 tile=tm8_tn4_tk4 all 1 calls correct, guards clean
PASS: shape=8x8x8 tile=tm8_tn4_tk4 all 1000 calls correct, guards clean
PASS: shape=8x8x8 tile=tm8_tn4_tk8 all 1 calls correct, guards clean
PASS: shape=8x8x8 tile=tm8_tn4_tk8 all 1000 calls correct, guards clean
PASS: shape=8x8x8 tile=tm8_tn8_tk4 all 1 calls correct, guards clean
PASS: shape=8x8x8 tile=tm8_tn8_tk4 all 1000 calls correct, guards clean
PASS: shape=8x8x8 tile=tm8_tn8_tk8 all 1 calls correct, guards clean
PASS: shape=8x8x8 tile=tm8_tn8_tk8 all 1000 calls correct, guards clean
OVERALL: PASS (42 candidates, 1-call + 1000-call each)
